WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
1/03/2015 9:00,10.8,111,20,0.1,1007.7,1011.1,1011.3,0,47.2,7,594,28.1,28.8,29.3,28.5,12,22.68
1/03/2015 9:10,10.3,130,24,0.1,1007.5,1010.9,1011.1,0,45.1,7,636,28,28.7,29.3,28.5,9,22.9
1/03/2015 9:20,10,133,20,0.1,1007.5,1010.9,1011.1,0,42.5,6,679,28,28.7,29.3,28.5,11,23.57
1/03/2015 9:30,10.2,122,20,0.1,1007.4,1010.8,1011,0,41.7,7,715,28,28.7,29.3,28.5,10,24.09
1/03/2015 9:40,10.8,115,16,0.1,1007.4,1010.8,1011,0,41.4,8,730,27.9,28.7,29.3,28.5,11,24.81
1/03/2015 9:50,10.4,96,21,0.1,1007.5,1010.9,1011.1,0,37.4,7,756,27.9,28.6,29.2,28.5,10,26.09
1/03/2015 10:00,10.4,93,19,0.2,1007.5,1010.9,1011.1,0,37.4,7,779,27.9,28.6,29.3,28.5,10,26.13
1/03/2015 10:10,9.8,93,17,0.1,1007.5,1010.9,1011.1,0,34.8,6,824,27.9,28.6,29.2,28.5,9,26.61
1/03/2015 10:20,9.8,86,23,0.1,1007.4,1010.8,1011,0,33.5,6,843,27.9,28.5,29.2,28.5,9,27.27
1/03/2015 10:30,9.9,105,44,0.2,1007.4,1010.8,1011,0,32.2,4,859,27.9,28.5,29.2,28.5,6,28.09
1/03/2015 10:40,9.8,91,30,0.1,1007.4,1010.8,1011,0,32.1,4,993,27.9,28.5,29.2,28.5,7,28.14
1/03/2015 10:50,9.2,91,23,0.2,1007.4,1010.8,1011,0,30.7,5,925,27.9,28.5,29.2,28.5,7,28.11
1/03/2015 11:00,9.8,73,44,0.1,1007.4,1010.7,1011,0,30.1,5,937,27.9,28.4,29.2,28.5,8,29.1
1/03/2015 11:10,9.5,29,29,0.2,1007.3,1010.6,1010.9,0,29.2,4,934,28,28.4,29.2,28.5,6,29.34
1/03/2015 11:20,9.1,33,34,0.1,1007.2,1010.5,1010.8,0,29,4,947,28,28.4,29.2,28.5,7,28.93
1/03/2015 11:30,9.5,23,63,0.2,1006.9,1010.2,1010.5,0,28.5,4,993,28,28.3,29.2,28.5,7,29.75
1/03/2015 11:40,9.3,121,34,0.1,1006.5,1009.8,1010.1,0,27.6,3,965,28.1,28.3,29.2,28.5,6,29.98
1/03/2015 11:50,8.8,55,20,0.2,1006.4,1009.7,1010,0,26.9,4,993,28.1,28.3,29.1,28.5,6,29.92
1/03/2015 12:00,9,169,55,0.2,1006.2,1009.5,1009.8,0,26.9,4,993,28.2,28.3,29.1,28.5,7,30.11
1/04/2015 0:00,13,190,17,0,1017,1020.5,1020.6,0,78.7,5,15,26.4,25.8,25.6,26,9,16.81
